noise_level,planner,trial,success,steps,drift_events
Low (95/2.5/2.5),Dijkstra,113,True,113,4
Low (95/2.5/2.5),Dijkstra,114,True,44,3
Low (95/2.5/2.5),Dijkstra,115,True,94,4
Low (95/2.5/2.5),Dijkstra,116,False,300,9
Low (95/2.5/2.5),Dijkstra,117,True,62,2
Low (95/2.5/2.5),Dijkstra,118,False,300,5
Low (95/2.5/2.5),Dijkstra,119,False,300,9
Low (95/2.5/2.5),Dijkstra,120,True,192,10
Low (95/2.5/2.5),Dijkstra,121,True,259,13
Low (95/2.5/2.5),Dijkstra,122,True,39,0
Low (95/2.5/2.5),Dijkstra,123,False,300,6
Low (95/2.5/2.5),Dijkstra,124,True,298,11
Low (95/2.5/2.5),Dijkstra,125,True,146,2
Low (95/2.5/2.5),Dijkstra,126,True,189,7
Low (95/2.5/2.5),Dijkstra,127,True,40,1
Low (95/2.5/2.5),Dijkstra,128,True,134,4
Low (95/2.5/2.5),Dijkstra,129,True,86,2
Low (95/2.5/2.5),Dijkstra,130,False,300,8
Low (95/2.5/2.5),Dijkstra,131,True,64,3
Low (95/2.5/2.5),Dijkstra,132,False,300,11
Low (95/2.5/2.5),Dijkstra,133,True,87,2
Low (95/2.5/2.5),Dijkstra,134,True,40,0
Low (95/2.5/2.5),Dijkstra,135,True,39,2
Low (95/2.5/2.5),Dijkstra,136,True,92,5
Low (95/2.5/2.5),Dijkstra,137,True,46,0
Low (95/2.5/2.5),Dijkstra,138,True,52,2
Low (95/2.5/2.5),Dijkstra,139,True,42,2
Low (95/2.5/2.5),Dijkstra,140,True,55,2
Low (95/2.5/2.5),Dijkstra,141,True,44,2
Low (95/2.5/2.5),Dijkstra,142,True,59,3
Low (95/2.5/2.5),Dijkstra,143,True,285,10
Low (95/2.5/2.5),Dijkstra,144,True,53,3
Low (95/2.5/2.5),Dijkstra,145,True,38,0
Low (95/2.5/2.5),Dijkstra,146,True,88,5
Low (95/2.5/2.5),Dijkstra,147,True,112,6
Low (95/2.5/2.5),Dijkstra,148,True,38,0
Low (95/2.5/2.5),Dijkstra,149,True,51,2
Low (95/2.5/2.5),Dijkstra,150,True,300,12
Low (95/2.5/2.5),Dijkstra,151,False,300,17
Low (95/2.5/2.5),Dijkstra,152,True,87,2
Low (95/2.5/2.5),Dijkstra,153,True,40,1
Low (95/2.5/2.5),Dijkstra,154,False,300,11
Low (95/2.5/2.5),Dijkstra,155,True,40,1
Low (95/2.5/2.5),Dijkstra,156,True,40,1
Low (95/2.5/2.5),Dijkstra,157,True,122,8
Low (95/2.5/2.5),Dijkstra,158,True,127,6
Low (95/2.5/2.5),Dijkstra,159,True,194,12
Low (95/2.5/2.5),Dijkstra,160,True,47,0
Low (95/2.5/2.5),Dijkstra,161,True,38,0
Low (95/2.5/2.5),Dijkstra,162,True,109,5
Low (95/2.5/2.5),Dijkstra,163,True,38,0
Low (95/2.5/2.5),Dijkstra,164,True,46,0
Low (95/2.5/2.5),Dijkstra,165,True,114,7
Low (95/2.5/2.5),Dijkstra,166,False,300,6
Low (95/2.5/2.5),Dijkstra,167,True,261,9
Low (95/2.5/2.5),Dijkstra,168,True,245,9
Low (95/2.5/2.5),Dijkstra,169,True,38,0
Low (95/2.5/2.5),Dijkstra,170,True,42,3
Low (95/2.5/2.5),Dijkstra,171,True,70,3
Low (95/2.5/2.5),Dijkstra,172,True,38,0
Low (95/2.5/2.5),Dijkstra,173,True,41,5
Low (95/2.5/2.5),Dijkstra,174,True,172,8
Low (95/2.5/2.5),Dijkstra,175,False,300,13
Low (95/2.5/2.5),Dijkstra,176,True,166,7
Low (95/2.5/2.5),Dijkstra,177,True,38,0
Low (95/2.5/2.5),Dijkstra,178,True,268,8
Low (95/2.5/2.5),Dijkstra,179,True,41,2
Low (95/2.5/2.5),Dijkstra,180,True,38,0
Low (95/2.5/2.5),Dijkstra,181,True,175,10
Low (95/2.5/2.5),Dijkstra,182,True,298,11
Low (95/2.5/2.5),Dijkstra,183,True,49,2
Low (95/2.5/2.5),Dijkstra,184,True,48,2
Low (95/2.5/2.5),Dijkstra,185,True,38,0
Low (95/2.5/2.5),Dijkstra,186,False,300,12
Low (95/2.5/2.5),Dijkstra,187,True,71,2
Low (95/2.5/2.5),Dijkstra,188,True,69,4
Low (95/2.5/2.5),Dijkstra,189,True,39,0
Low (95/2.5/2.5),Dijkstra,190,True,256,3
Low (95/2.5/2.5),Dijkstra,191,True,46,1
Low (95/2.5/2.5),Dijkstra,192,True,112,8
Low (95/2.5/2.5),Dijkstra,193,True,51,2
Low (95/2.5/2.5),Dijkstra,194,True,46,0
Low (95/2.5/2.5),Dijkstra,195,False,300,3
Low (95/2.5/2.5),Dijkstra,196,True,51,3
Low (95/2.5/2.5),Dijkstra,197,True,270,15
Low (95/2.5/2.5),Dijkstra,198,True,96,2
Low (95/2.5/2.5),Dijkstra,199,True,116,2
Low (95/2.5/2.5),A*,0,True,76,4
Low (95/2.5/2.5),A*,1,True,44,3
Low (95/2.5/2.5),A*,2,True,38,0
Low (95/2.5/2.5),A*,3,True,40,0
Low (95/2.5/2.5),A*,4,False,300,11
Low (95/2.5/2.5),A*,5,True,43,3
Low (95/2.5/2.5),A*,6,True,47,3
Low (95/2.5/2.5),A*,7,True,219,7
Low (95/2.5/2.5),A*,8,True,112,6
Low (95/2.5/2.5),A*,9,False,300,8
Low (95/2.5/2.5),A*,10,True,98,3
Low (95/2.5/2.5),A*,11,True,39,1
Low (95/2.5/2.5),A*,12,True,161,5
Low (95/2.5/2.5),A*,13,False,300,10
Low (95/2.5/2.5),A*,14,True,49,2
Low (95/2.5/2.5),A*,15,True,126,2
Low (95/2.5/2.5),A*,16,True,38,0
Low (95/2.5/2.5),A*,17,True,38,0
Low (95/2.5/2.5),A*,18,True,58,3
Low (95/2.5/2.5),A*,19,True,78,3
Low (95/2.5/2.5),A*,20,True,38,0
Low (95/2.5/2.5),A*,21,True,188,4
Low (95/2.5/2.5),A*,22,True,41,1
Low (95/2.5/2.5),A*,23,True,200,2
Low (95/2.5/2.5),A*,24,True,210,6
Low (95/2.5/2.5),A*,25,True,39,1
Low (95/2.5/2.5),A*,26,True,79,6
Low (95/2.5/2.5),A*,27,True,72,3
Low (95/2.5/2.5),A*,28,True,228,9
Low (95/2.5/2.5),A*,29,True,41,1
Low (95/2.5/2.5),A*,30,True,89,5
Low (95/2.5/2.5),A*,31,True,154,6
Low (95/2.5/2.5),A*,32,True,131,4
Low (95/2.5/2.5),A*,33,True,260,14
Low (95/2.5/2.5),A*,34,True,38,0
Low (95/2.5/2.5),A*,35,True,189,5
Low (95/2.5/2.5),A*,36,False,300,4
Low (95/2.5/2.5),A*,37,True,126,5
Low (95/2.5/2.5),A*,38,True,124,5
Low (95/2.5/2.5),A*,39,True,38,0
Low (95/2.5/2.5),A*,40,True,215,10
Low (95/2.5/2.5),A*,41,True,40,0
Low (95/2.5/2.5),A*,42,False,300,7
Low (95/2.5/2.5),A*,43,True,86,5
Low (95/2.5/2.5),A*,44,True,150,4
Low (95/2.5/2.5),A*,45,False,300,8
Low (95/2.5/2.5),A*,46,True,41,3
Low (95/2.5/2.5),A*,47,True,123,6
Low (95/2.5/2.5),A*,48,True,38,0
Low (95/2.5/2.5),A*,49,True,212,4
Low (95/2.5/2.5),A*,50,True,203,7
Low (95/2.5/2.5),A*,51,True,38,0
Low (95/2.5/2.5),A*,52,True,168,5
Low (95/2.5/2.5),A*,53,True,40,1
Low (95/2.5/2.5),A*,54,True,126,4
Low (95/2.5/2.5),A*,55,True,119,3
Low (95/2.5/2.5),A*,56,False,300,5
Low (95/2.5/2.5),A*,57,True,70,2
